time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735424	0.629555	7.20176	3.85118e-017	-5.67458e-017	radar	-0.0929831	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494949	7.20483	-0.127208	-0.011871	lidar	0.129523	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25805	0.533072	7.19012	0.122822	0.030752	radar	1.69413	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61578	0.595368	7.20355	0.161605	0.0463985	lidar	0.100026	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8511	0.561816	6.01358	0.0250752	-0.236382	radar	1.03317	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16307	0.591133	6.01313	0.0397474	-0.180055	lidar	0.0454748	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37903	0.636912	5.61377	0.0548155	-0.350643	radar	2.29202	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65657	0.653821	5.61096	0.0433771	-0.327698	lidar	9.74826e-005	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92307	0.647257	5.54653	-0.00503316	-0.484149	radar	0.00106071	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15922	0.64259	5.50258	-0.0185288	-0.447747	lidar	1.21055	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44463	0.538546	5.5342	-0.166985	-0.861981	radar	0.121706	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74765	0.426276	5.59832	-0.285299	-1.08087	lidar	1.16577	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02874	0.510417	5.55829	-0.148169	-0.553172	radar	0.497072	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.3028	0.502229	5.54113	-0.141041	-0.468903	lidar	0.00229863	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56406	0.536915	5.46759	-0.102186	-0.336184	radar	0.0582344	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75526	0.642176	5.31582	-0.00224272	-0.0906421	lidar	8.66957	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.0082	0.639983	5.25914	-0.0118177	-0.105109	radar	0.424022	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30891	0.638478	5.30425	-0.0164031	-0.103544	lidar	2.32309	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56646	0.646907	5.31055	-0.00924713	-0.0785504	radar	1.28564	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85942	0.664722	5.33971	0.000872646	-0.0539352	lidar	1.37993	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10345	0.589041	5.29116	-0.0564437	-0.151479	radar	0.646263	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35999	0.705737	5.26526	0.0238246	-0.00619381	lidar	0.018835	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.6116	0.737261	5.23161	0.038614	0.0162397	radar	0.0028499	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.85951	0.736701	5.21796	0.0330345	0.00624052	lidar	0.309812	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.10549	0.717799	5.16067	0.0136876	-0.02931	radar	0.311342	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.32773	0.806233	5.11718	0.0644361	0.0518884	lidar	1.90776	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.61546	0.818313	5.18139	0.0645662	0.0496131	radar	2.56897	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.86533	0.795726	5.17256	0.0439352	0.0143386	lidar	0.181222	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.11723	0.812491	5.13507	0.0459664	0.0131359	radar	0.933409	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.35526	0.831814	5.11524	0.0515598	0.0209097	lidar	0.596505	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.6192	0.928059	5.1631	0.102859	0.101109	radar	0.0797561	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.85559	0.990615	5.14244	0.129301	0.134104	lidar	0.627956	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.14119	1.03178	5.18494	0.138582	0.137076	radar	6.46263	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.37789	1.06456	5.16316	0.144299	0.135887	lidar	0.767086	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.65291	1.14366	5.20149	0.173441	0.168959	radar	2.86019	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92083	1.27959	5.22699	0.232845	0.245774	lidar	0.794944	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.169	1.38543	5.20142	0.274169	0.295086	radar	1.91386	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3943	1.464	5.17649	0.294956	0.305328	lidar	1.08905	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6263	1.56982	5.13048	0.334718	0.353027	radar	0.956619	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8564	1.5873	5.09957	0.315254	0.298862	lidar	0.755671	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
