time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.4485	0.251375	-0.000719288	2.34188e-017	-1.73472e-018	lidar	0.000211934	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.47145	0.248799	-0.00552404	3.13642e-006	3.24185e-007	radar	0.123491	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46434	0.250982	-0.00837846	-2.0617e-005	-2.94462e-006	lidar	0.00585417	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.37664	0.251326	-0.897207	0.00139211	0.000347546	radar	-0.0209608	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.31258	0.250631	-0.918136	0.00314956	0.000765009	lidar	0.348734	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.10931	0.234632	-1.32318	0.180968	0.0549248	radar	0.707035	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	8.01221	0.204027	-1.36915	0.290906	0.0836786	lidar	1.77036	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.82486	0.342188	-1.66182	-1.25609	-0.547481	radar	0.868223	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.71857	0.282777	-1.72091	-0.571737	-0.28308	lidar	2.10873	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.57977	0.199338	-1.7768	0.105718	0.0896189	radar	0.127068	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.45793	0.138303	-1.77421	0.242497	0.104712	lidar	0.742164	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.31217	0.196601	-2.06239	-0.100763	-0.423359	radar	0.197779	7.20598	0.00492725	7.2	9.49949e-007	-2.72851	-0.909507
1477010444079717	7.1735	0.111657	-2.08214	0.0842506	-0.261408	lidar	0.796413	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	7.06273	0.0370577	-2.03531	0.212987	-0.0860897	radar	1.11749	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
